Sayým Yýlý;Varsayým 1: Bugün Görülen Nüfus Artýþ Hýzýnýn Deðiþmeden Sürmesi;Varsayým 2:Bugün Görülen Nüfus Artýþ Hýzýnýn 2045 Yýlýnda Yarýya Ýnmesi;Varsayým 3: Bugün Görülen Nüfus Artýþ Hýzýnýn Son Altý Sayýmda Görülen Artýþ Hýzlarýndan Çýkarýlan Regresyon Eðrileri Doðrultusunda Azalacaðý;Varsayým 4: Son Ýki Sayým Döneminde Görülen Artýþ Hýzlarýndaki Deðiþmeler Doðrultusunda Doðrusal Olarak Azalacaðý Varsayýmý;Varsayým 5: Nüfus Artýþ Hýzýnýn 2045– 2050 Döneminde 0- 01 Deðerine Ýnmesi;"Varsayým 6: Nüfus Artýþ Hýzýnýn 2045-2050 Döneminde ""Sýfýr"" Düzeyine Ýnmesi"
1950;1.166.477;1.166.477;1.166.477;1.166.477;1.166.477;1.166.477
1955;1.533.822;1.533.822;1.533.822;1.533.822;1.533.822;1.533.822
1960;1.882.092;1.882.092;1.882.092;1.882.092;1.882.092;1.882.092
1965;2.293.823;2.293.823;2.293.823;2.293.823;2.293.823;2.293.823
1970;3.019.032;3.019.032;3.019.032;3.019.032;3.019.032;3.019.032
1975;3.904.588;3.904.588;3.904.588;3.904.588;3.904.588;3.904.588
1980;4.741.890;4.741.890;4.741.890;4.741.890;4.741.890;4.741.890
1985;5.842.985;5.842.985;5.842.985;5.842.985;5.842.985;5.842.985
1990;7.309.190;7.309.190;7.309.190;7.309.190;7.309.190;7.309.190
2000;10.018.735;10.018.735;10.018.735;10.018.735;10.018.735;10.018.735
2005;11.729.641;11.637.538;11.816.027;12.124.561;11.604.034;11.546.159
2010;13.732.719;13.411.759;13.728.265;14.195.080;13.296.257;13.098.301
2015;16.077.864;15.335.107;15.712.504;16.077.864;15.072.111;14.626.663
2020;18.823.491;17.396.595;17.715.799;17.617.225;16.902.194;16.077.864
2025;22.037.990;19.580.245;19.677.126;18.675.203;18.751.514;17.396.595
2030;25.801.432;21.864.945;21.530.205;19.151.898;20.580.404;18.529.043
2035;30.207.558;24.224.514;23.207.067;19.001.024;22.345.792;19.426.499
2040;35.366.122;26.627.977;24.642.112;18.237.312;24.002.800;20.048.824
2045;41.405.617;29.040.071;25.776.335;16.934.148;25.506.586;20.367.423
2050;48.476.480;31.421.982;26.560.000;15.211.937;26.814.337;20.367.423
2050;48.476.480;31.421.982;26.560.000;15.211.937;26.814.337;20.367.423
